raw_text,clean_default
Hello world.,hello world.
THIS IS ALL CAPS.,this is all caps.
this is all lowercase.,this is all lowercase.
MiXeD CaSe LeTtErS aRe FuN.,mixed case letters are fun.
I can’t believe it’s already Monday.,i can t believe it s already monday.
Wait… what just happened?,wait what just happened?
No way!!!,no way!
Seriously????,seriously?
This is fine 🙂,this is fine 🙂
This is *not* fine 😡,this is not fine 😡
LOL that was funny 😂😂😂,lol that was funny 😂 😂 😂
I’m crying rn 😭,i m crying rn 😭
Visit https://example.com for details.,visit <URL> for details.
Check out www.google.com right now.,check out <URL> right now.
Email me at fakeemail@test.com.,email me at fakeemail <USER>
Follow me @username.,follow me <USER>
Thanks @john_doe for the help!,thanks <USER> for the help!
Trending topic: #BreakingNews,trending topic: breakingnews
I love #MachineLearning and #AI.,i love machinelearning and ai.
HashtagsCanBeAnnoying #sometimes,hashtagscanbeannoying sometimes
The price is $19.99 only.,the price is 19.99 only.
I paid 30€ for this.,i paid 30 for this.
Temperature reached -12.5°C last night.,temperature reached -12.5 c last night.
The value of pi is approximately 3.14159.,the value of pi is approximately 3.14159.
He scored 100/100 on the exam.,he scored 100/100 on the exam.
Today is 2026-01-19.,today is 2026-01-19.
The meeting is at 3:45 PM.,the meeting is at 3:45 pm.
Call me at 123-456-7890.,call me at 123-456-7890.
Version v2.0.1 was released.,version v2.0.1 was released.
Error code: ERR_404_NOT_FOUND.,error code: err_404_not_found.
Multiple     spaces     here.,multiple spaces here.
Tabs	and	more	tabs.,tabs and more tabs.
"Newlines
are
everywhere.",newlines are everywhere.
This sentence has trailing spaces.    ,this sentence has trailing spaces.
What about leading spaces?,what about leading spaces?
Quotes “like this” are fancy.,quotes like this are fancy.
"And ""like this"" are plain.","and ""like this"" are plain."
Single quotes aren’t rare.,single quotes aren t rare.
Backticks `code` look different.,backticks code look different.
Math symbols: a ≤ b ≥ c.,math symbols: a b c.
Logical ops: x && y || z.,logical ops: x y z.
Emojis mixed with text 👍 good job.,emojis mixed with text 👍 good job.
🇨🇦 is the Canadian flag.,🇨 🇦 is the canadian flag.
Weather today is ☀️🌧️❄️.,weather today is ☀ 🌧 ❄ .
Repeated punctuation!!!!!,repeated punctuation!
Ellipses...... everywhere.,ellipses. everywhere.
Why would someone do this????!!!!,why would someone do this?!
Short sentence.,short sentence.
Very very very very very long sentence that just keeps going without saying much of anything useful at all.,very very very very very long sentence that just keeps going without saying much of anything useful at all.
This—is—an—em—dash—test.,this is an em dash test.
Hyphen-test-case.,hyphen-test-case.
Underscore_test_case.,underscore_test_case.
Slash/test/case.,slash/test/case.
"Colon:test;semicolon,test.","colon:test;semicolon,test."
Parentheses (with text inside).,parentheses (with text inside).
Brackets [are also used].,brackets are also used .
Braces {sometimes too}.,braces sometimes too .
Angle brackets <html-like>.,angle brackets <html-like>.
Markdown **bold** text.,markdown bold text.
Markdown *italic* text.,markdown italic text.
Markdown ~~strikethrough~~ text.,markdown strikethrough text.
Bullet-like • text symbol.,bullet-like text symbol.
Arrow -> goes here.,arrow -> goes here.
Unicode test: café naïve résumé.,unicode test: café naïve résumé.
Accents in Spanish: niño mañana corazón.,accents in spanish: niño mañana corazón.
Korean text: 안녕하세요 반갑습니다.,korean text: 안녕하세요 반갑습니다.
Japanese text: こんにちは世界。,japanese text: こんにちは世界
Chinese text: 你好，世界。,chinese text: 你好 世界
Mixed language sentence 안녕 hello hi.,mixed language sentence 안녕 hello hi.
Numbers spelled out: one two three.,numbers spelled out: one two three.
"Roman numerals: I, V, X, L, C.","roman numerals: i, v, x, l, c."
Binary number: 101010.,binary number: 101010.
Hex value: 0xFFEEAA.,hex value: 0xffeeaa.
Scientific notation: 1.2e-5.,scientific notation: 1.2e-5.
Percentages like 99.9%.,percentages like 99.9 .
Fractions such as 3/4 are common.,fractions such as 3/4 are common.
