text,label
says the annies list political group supports thirdtrimester abortions on demand,2
when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration,1
hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran,0
health care reform legislation is likely to mandate free sex change surgeries,2
the economic turnaround started at the end of my term,1
the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured uw faculty fired during the last two decades,0
jim dunnam has not lived in the district he represents for years now,1
im the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate,1
however it took 195 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations centerpacific,1
says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost 788 million in higher electricity costs,0
for the first time in history the share of the national popular vote margin is smaller than the latino vote margin,0
since 2000 nearly 12 million americans have slipped out of the middle class and into poverty,1
when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,2
the economy bled 24 billion due to the government shutdown,0
most of the affordable care act has already in some sense been waived or otherwise suspended,1
in this last election in november 63 percent of the american people chose not to vote 80 percent of young people and 75 percent of lowincome workers chose not to vote,1
mccain opposed a requirement that the government buy americanmade motorcycles and he said all buyamerican provisions were quote disgraceful,0
us rep ron kind dwis and his fellow democrats went on a spending spree and now their credit card is maxed out,1
water rates in manila philippines were raised up to 845 percent when a subsidiary of the world bank became a partial owner,1
almost 100000 people left puerto rico last year,0
women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,2
the united states has the highest corporate tax rate in the free world,0
we just had the best year for the auto industry in america in history,0
says scott walker favors cutting up to 350000 families and children off health care,1
says mitt romney wants to get rid of planned parenthood,1
i dont know who jonathan gruber is,2
hate crimes against american muslims and mosques have tripled after paris and san bernardino,0
rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections,1
isis supporter tweeted at 1034 am shooting began at 1045 am in chattanooga tenn,2
youth unemployment in minority communities is about 40 to 45 percent,0
says paul ryan is still endorsing trump,0
if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates,1
what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,2
we cut business taxes so today 70 percent of our businesses dont pay a business tax,0
says mark pryor votes with obama 93 percent of the time,0
we have a federal government that thinks they have the authority to regulate our toilet seats,0
austin is a city that has basically doubled in size every 25 years or so since it was founded,0
the nuclear test conducted in our nation this time is the earths 2054th nuclear test the five permanent members of the un security council have conducted 9999 percent of the total nuclear tests,0
in the case of a catastrophic event the atlantaarea offices of the centers for disease control and prevention will selfdestruct,2
under president george w bush we added 49 trillion to the debt under president obama weve added 65 trillion to the debt,0
says a us supreme court justice suggested that some us cases will be decided based on south african law,2
says marco rubio skipped 18 defense votes including one to arm the kurds to fight isis,1
rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,2
says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe,2
we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster,2
africanamerican youth unemployment is 51 percent hispanic youth unemployment is 36 percent,1
obamacare will provide insurance to all nonus residents even if they are here illegally,2
president barack obama took exactly none of his own deficit reduction commissions ideas not one,2
it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life,2
hillary clinton in 2005 cosponsored legislation that would jail flag burners,0
says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,1
maggie hassan raised tuition making it the highest in america,1
says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,2
we created 800000 new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,0
we have towns in west texas that are out of water that are having to truck in water,1
in georgia women earn 82 cents for every dollar earned by men,1
a federal system that verifies employees are authorized to work in the us is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time,1
they were going to build the wall a while ago not so long ago like in 06 and they couldnt get environmental impact statements,1
sen obamas campaign announced that hes choosing his cabinet,2
in 2008 only 54 percent of latinos in texas were registered to vote and only 35 percent actually turned out,0
only 2 percent of public high schools in the country offer pe classes,2
said hes the only republican candidate whos actually turned around a government economy,0
on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong,0
there are 321092 public school teachers in texas and there are 313850 nonteachers in our public schools,0
under mayor cicilline providence was a sanctuary city,2
transgender individuals in the us have a 1in12 chance of being murdered,2
at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised,0
says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,2
us rep phil gingrey gave the government the power to electronically spy on americans without a warrant,1
alex sink funneled three quarters of a million dollars in nobid contracts to bank of america,1
if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor,0
under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate,1
the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person,0
the only time in our history when the debt has been higher than this was the end of world war ii,0
the cost of health care is now the singlebiggest factor driving down the federal budget deficit,0
during the recession the consumer in his native perversity has begun to save the savings rate is now 62 percent,0
on whether a us supreme court nominee should be forthcoming at confirmation hearings,2
says one out of three us homeless men is a veteran,1
says charlie crist supports cuts to the medicare advantage program,2
i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together forget the united states,1
says scott brown cosponsored legislation to let employers deny women coverage for birth control,0
at some point in their lives 99 of women use birth control,1
in the past 20 years egypt has made great strides in political and democratic reform,2
the amount of attention paid this week to chris christie makes the coverage of benghazi pale in significance,2
says us rep steve southerland voted to keep the shutdown going,0
in rick perrys texas we import nurses from other countries,1
there is a federal criminal law that says its a crime to transport dentures across state lines,0
we built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders,0
sen mccains tax plan provides virtually nothing to the middle class,1
austin is burdened by the fastestgrowing tax increases of any major city in the nation,2
phoenix arizona is the no 2 kidnapping capital of the world,2
i belong to the aflcio,0
the insurance commissioner cant do squat about health care,0
says a poll found him the only republican candidate who could beat barack obama in texas and by eight points,1
president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon,1
says david jolly supports privatizing social security,1
did you know us population growth is at its lowest since the great depression,0
the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones,0
since 1968 more americans have died from gunfire than died in all the wars of this countrys history,0
a foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender,0
the florida department of agricultures website freshfromfloridacom can be used to get a permit to carry a loaded hidden gun without ever leaving your house,2
the atlanta streetcar is expected to create 930 jobs during construction totaling more than 5600 jobs over the next 20 years,2
raising the minimum wage to 1010 an hour would help lift over a million americans out of poverty,0
says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism,0
nato is opening up a major terror division im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,2
sen obama has always had a 100 percent prochoice rating,0
since gina raimondo took office investment fees on the states pension portfolio have gone up from about 12 million annually to about 50 million,1
the federal debt is growing by more than 4 billion a day,0
under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers,1
of our 98000 teachers who are k12 over 53000 of those teachers today are over 50 years old,2
twothirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions,0
under president obamas healthcare reforms the premium for an average plan for a family didnt go down by 2500 per year its gone up about 2500 per year,1
the irs also investigated liberal groups groups that had progressive in their name the irs was basically looking at everybody,1
says obama promised unemployment would never go above 8 percent,1
the economy is creating jobs at the fastest pace since 1999,0
president obama decided not to meet with prime minister benjamin netanyahu in new york,0
in a majority of states you can now marry freely but can still be fired for who you love,0
say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the us congress,2
rudy giuliani is probably the most underqualified man since george bush to seek the presidency,2
about half of the presidents have been governors half of them senators,2
after britains vote to leave the european union within 24 hours americans lost 100 billion from our 401ks,0
medicaid spending declined by 19 percent in 2012 the second such decline in 47 years,0
says 88 texas constables have died in the line of duty,0
gov rick scott cut the cost of prepaid college tuition by nearly 20000,0
the city of columbus would save 41 million a year if employees had to contribute to their own guaranteedcheck pensions,0
as floridas cfo i shut down krakows scam and refunded more than 12 million to josephine and other victims of this con man,0
you had more women getting computer sciences degrees in the 80s by a factor of 2plus than you do now,0
the air force wants taxpayers to fund a fantasy football league,2
barack hussein obama will force courts to accept islamic sharia law in domestic disputes,2
about 3 percent of murders and crimes are committed with guns from people who actually legally purchase those guns,1
some neighborhood schools are closing,0
he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy,0
the years that i was speaker the florida house consistently offered leaner budgets than the governor offered,0
we are already almost halfway to our 2010 goal of creating 700000 new jobs in seven years,1
says the us supreme court found that social security is not guaranteed,0
saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado,2
oregonians have an amazing nocost way to fight abortion with free political donations,0
the president said hes going to bring in 250000 syrian and iraqi refugees into this country,2
research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support,1
newt gingrichs immigration plan offers a new doorway to amnesty,0
mr caprio is a career politician who has never worked in the private sector,2
in rhode island 9 percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only 3 percent,1
in just 17 years spending for social security federal health care and interest on the debt will exceed all tax revenue,0
president obama took more money from wall street in the 2008 campaign than anybody ever had,0
donald trump has said nuclear proliferation is ok,1
hillary clinton has taken over 800000 from lobbyists,0
barack obama has never even worked in business,2
says the arizona immigration law expressly bans racial profiling,1
says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border,2
on the va over 300000 veterans have died waiting for care,1
were now spending 42 percent of our economy on government,0
rob cornilles supports privatizing medicare,1
in 2005 dan branch tried to expand thirdtrimester abortions in texas,2
we democrats have made steady progress creating jobs and improving our schools,1
michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there,2
whether you like to admit it or not half our general revenue goes to education,0
im the only one whos fought against developers draining the everglades,2
says ron johnson calls social security a ponzi scheme and wants to privatize the program,1
there are 31 other states and 10000 other cities that have the same type of policies that we just passed referring to north carolinas house bill 2,1
climate change is directly related to the growth of terrorism,1
the jobs bill includes president obamas tax on soup kitchens,1
says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china,1
while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed,1
if milwaukee approves reducing its maximum forfeiture for marijuana possession to 50 the city would have 23 different bicycle violations that have a higher forfeiture,1
we have more illegal immigrants here than we did five years ago,2
says rick perry wrote a letter supporting hillarycare,1
the us patent and trademark office received zero complaints about the washington redskins name,2
the presidents health care proposals will cause most americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage,2
mexican immigrants are more lawabiding than us citizens and that is a statistic,0
says chris christie vetoed a jobs package of 30 bills,1
there are already more american jobs in the solar industry than in coal mining,0
says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would masseuthanize sheltered dogs and cats in gas chambers,1
barack obama is in an economy thats only worsened since hes been president of the united states,1
romney failed to take action against sanctuary cities in massachusetts,0
says new jersey is down nearly 200000 jobs from its prerecession peak and with gov chris christie new jersey has trailed the rest of america when it comes to unemployment for 12 consecutive months,1
says thomas eric duncan came into the united states with an elevated temperature,2
we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history,0
gas prices have gone up 2 since obama took office,1
webster sponsored a bill to create a form of marriage that would trap women in abusive relationships,0
says judges get better benefits at a lower cost than everybody else in the state,0
there are a lot of casinos across the country that have gone bankrupt,0
small businesses create 70 percent of the jobs in america,0
seniors with coverage under medicare advantage will give up more than their share because of health care reform,1
over 12000 school kids were arrested in florida it makes florida the nations leader in that area,1
if texas were a country our economy would rank 10in the world,0
there are more oil rigs in operation in the united states than the rest of the world combined,2
payday lenders profit from the poor by charging 1000plus percent interest,1
the social security trust fund is sound without anything being done it would function well into 2038 and even after that time with no changes we could pay 80 percent of the benefits that people have earned,1
it is a commitment voters take very seriously the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday,0
the obama administration shut down the amber alert program because of the government shutdown,2
the republicans have 2 percent of the muslim vote,0
we see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world,0
