nohup: ignoring input
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:540: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if use_amp else None
[train] Using device: cuda
[load_dataset] Loading dataset from /home/ethanbobrik/explainable-misinfo-ai/data/processed/final_datasets
[load_dataset] Found parquet files, loading from parquet
[train] Using backbone: roberta-base
[tokenize] Added 4 special tokens to tokenizer.
[lora_utils] Applied PEFT LoRA to encoder.
[train] Detected 12 transformer layers

[Phase 1] Head-only training
  Trainable: 397,063 | Frozen: 124,943,616 | Total: 125,340,679

Phase1 Epoch 1/10:   0%|          | 0/1239 [00:00<?, ?it/s]/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:242: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():

Phase1 Epoch 1/10:   0%|          | 0/1239 [00:01<?, ?it/s, Loss=0.8665, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 1/1239 [00:01<20:55,  1.01s/it, Loss=0.8665, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 1/1239 [00:01<20:55,  1.01s/it, Loss=0.8645, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 2/1239 [00:01<10:42,  1.92it/s, Loss=0.8645, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 2/1239 [00:01<10:42,  1.92it/s, Loss=0.8610, Acc=48.96%]
Phase1 Epoch 1/10:   0%|          | 3/1239 [00:01<07:29,  2.75it/s, Loss=0.8610, Acc=48.96%]
Phase1 Epoch 1/10:   0%|          | 3/1239 [00:01<07:29,  2.75it/s, Loss=0.8582, Acc=49.22%]
Phase1 Epoch 1/10:   0%|          | 4/1239 [00:01<05:46,  3.56it/s, Loss=0.8582, Acc=49.22%]
Phase1 Epoch 1/10:   0%|          | 4/1239 [00:01<05:46,  3.56it/s, Loss=0.8599, Acc=47.50%]
Phase1 Epoch 1/10:   0%|          | 5/1239 [00:01<04:45,  4.32it/s, Loss=0.8599, Acc=47.50%]
Phase1 Epoch 1/10:   0%|          | 5/1239 [00:01<04:45,  4.32it/s, Loss=0.8609, Acc=50.00%]
Phase1 Epoch 1/10:   0%|          | 6/1239 [00:01<04:19,  4.74it/s, Loss=0.8609, Acc=50.00%]
Phase1 Epoch 1/10:   0%|          | 6/1239 [00:02<04:19,  4.74it/s, Loss=0.8597, Acc=50.45%]
Phase1 Epoch 1/10:   1%|          | 7/1239 [00:02<04:06,  4.99it/s, Loss=0.8597, Acc=50.45%]
Phase1 Epoch 1/10:   1%|          | 7/1239 [00:02<04:06,  4.99it/s, Loss=0.8629, Acc=49.61%]
Phase1 Epoch 1/10:   1%|          | 8/1239 [00:02<03:51,  5.31it/s, Loss=0.8629, Acc=49.61%]
Phase1 Epoch 1/10:   1%|          | 8/1239 [00:02<03:51,  5.31it/s, Loss=0.8615, Acc=50.69%]
Phase1 Epoch 1/10:   1%|          | 9/1239 [00:02<03:32,  5.78it/s, Loss=0.8615, Acc=50.69%]
Phase1 Epoch 1/10:   1%|          | 9/1239 [00:02<03:32,  5.78it/s, Loss=0.8621, Acc=50.62%]
Phase1 Epoch 1/10:   1%|          | 10/1239 [00:02<03:33,  5.77it/s, Loss=0.8621, Acc=50.62%]
Phase1 Epoch 1/10:   1%|          | 10/1239 [00:02<03:33,  5.77it/s, Loss=0.8612, Acc=50.57%]
Phase1 Epoch 1/10:   1%|          | 11/1239 [00:02<03:34,  5.72it/s, Loss=0.8612, Acc=50.57%]
Phase1 Epoch 1/10:   1%|          | 11/1239 [00:02<03:34,  5.72it/s, Loss=0.8579, Acc=52.34%]
Phase1 Epoch 1/10:   1%|          | 12/1239 [00:02<03:26,  5.94it/s, Loss=0.8579, Acc=52.34%]
Phase1 Epoch 1/10:   1%|          | 12/1239 [00:02<03:26,  5.94it/s, Loss=0.8568, Acc=52.40%]
Phase1 Epoch 1/10:   1%|          | 13/1239 [00:02<03:16,  6.23it/s, Loss=0.8568, Acc=52.40%]
Phase1 Epoch 1/10:   1%|          | 13/1239 [00:03<03:16,  6.23it/s, Loss=0.8563, Acc=53.12%]
Phase1 Epoch 1/10:   1%|          | 14/1239 [00:03<03:21,  6.07it/s, Loss=0.8563, Acc=53.12%]
Phase1 Epoch 1/10:   1%|          | 14/1239 [00:03<03:21,  6.07it/s, Loss=0.8557, Acc=52.71%]
Phase1 Epoch 1/10:   1%|          | 15/1239 [00:03<03:26,  5.92it/s, Loss=0.8557, Acc=52.71%]
Phase1 Epoch 1/10:   1%|          | 15/1239 [00:03<03:26,  5.92it/s, Loss=0.8563, Acc=52.34%]
Phase1 Epoch 1/10:   1%|▏         | 16/1239 [00:03<03:21,  6.08it/s, Loss=0.8563, Acc=52.34%]
Phase1 Epoch 1/10:   1%|▏         | 16/1239 [00:03<03:21,  6.08it/s, Loss=0.8552, Acc=52.76%]
Phase1 Epoch 1/10:   1%|▏         | 17/1239 [00:03<03:12,  6.33it/s, Loss=0.8552, Acc=52.76%]
Phase1 Epoch 1/10:   1%|▏         | 17/1239 [00:03<03:12,  6.33it/s, Loss=0.8558, Acc=52.60%]
Phase1 Epoch 1/10:   1%|▏         | 18/1239 [00:03<03:18,  6.14it/s, Loss=0.8558, Acc=52.60%]
Phase1 Epoch 1/10:   1%|▏         | 18/1239 [00:03<03:18,  6.14it/s, Loss=0.8542, Acc=53.29%]
Phase1 Epoch 1/10:   2%|▏         | 19/1239 [00:03<03:24,  5.97it/s, Loss=0.8542, Acc=53.29%]
Phase1 Epoch 1/10:   2%|▏         | 19/1239 [00:04<03:24,  5.97it/s, Loss=0.8548, Acc=52.81%]
Phase1 Epoch 1/10:   2%|▏         | 20/1239 [00:04<03:20,  6.08it/s, Loss=0.8548, Acc=52.81%]
Phase1 Epoch 1/10:   2%|▏         | 20/1239 [00:04<03:20,  6.08it/s, Loss=0.8543, Acc=53.27%]
Phase1 Epoch 1/10:   2%|▏         | 21/1239 [00:04<03:13,  6.29it/s, Loss=0.8543, Acc=53.27%]
Phase1 Epoch 1/10:   2%|▏         | 21/1239 [00:04<03:13,  6.29it/s, Loss=0.8533, Acc=53.27%]
Phase1 Epoch 1/10:   2%|▏         | 22/1239 [00:04<03:19,  6.10it/s, Loss=0.8533, Acc=53.27%]
Phase1 Epoch 1/10:   2%|▏         | 22/1239 [00:04<03:19,  6.10it/s, Loss=0.8536, Acc=52.85%]
Phase1 Epoch 1/10:   2%|▏         | 23/1239 [00:04<03:25,  5.92it/s, Loss=0.8536, Acc=52.85%]
Phase1 Epoch 1/10:   2%|▏         | 23/1239 [00:04<03:25,  5.92it/s, Loss=0.8533, Acc=52.86%]
Phase1 Epoch 1/10:   2%|▏         | 24/1239 [00:04<03:15,  6.21it/s, Loss=0.8533, Acc=52.86%]
Phase1 Epoch 1/10:   2%|▏         | 24/1239 [00:04<03:15,  6.21it/s, Loss=0.8536, Acc=52.62%]
Phase1 Epoch 1/10:   2%|▏         | 25/1239 [00:04<03:11,  6.33it/s, Loss=0.8536, Acc=52.62%]
Phase1 Epoch 1/10:   2%|▏         | 25/1239 [00:05<03:11,  6.33it/s, Loss=0.8536, Acc=52.64%]
Phase1 Epoch 1/10:   2%|▏         | 26/1239 [00:05<03:15,  6.19it/s, Loss=0.8536, Acc=52.64%]
Phase1 Epoch 1/10:   2%|▏         | 26/1239 [00:05<03:15,  6.19it/s, Loss=0.8536, Acc=52.66%]
Phase1 Epoch 1/10:   2%|▏         | 27/1239 [00:05<03:22,  5.99it/s, Loss=0.8536, Acc=52.66%]
Phase1 Epoch 1/10:   2%|▏         | 27/1239 [00:05<03:22,  5.99it/s, Loss=0.8526, Acc=53.12%]
Phase1 Epoch 1/10:   2%|▏         | 28/1239 [00:05<03:17,  6.14it/s, Loss=0.8526, Acc=53.12%]
Phase1 Epoch 1/10:   2%|▏         | 28/1239 [00:05<03:17,  6.14it/s, Loss=0.8519, Acc=53.34%]
Phase1 Epoch 1/10:   2%|▏         | 29/1239 [00:05<03:09,  6.38it/s, Loss=0.8519, Acc=53.34%]
Phase1 Epoch 1/10:   2%|▏         | 29/1239 [00:05<03:09,  6.38it/s, Loss=0.8510, Acc=53.96%]
Phase1 Epoch 1/10:   2%|▏         | 30/1239 [00:05<03:16,  6.16it/s, Loss=0.8510, Acc=53.96%]
Phase1 Epoch 1/10:   2%|▏         | 30/1239 [00:05<03:16,  6.16it/s, Loss=0.8515, Acc=53.63%]
Phase1 Epoch 1/10:   3%|▎         | 31/1239 [00:05<03:22,  5.98it/s, Loss=0.8515, Acc=53.63%]
Phase1 Epoch 1/10:   3%|▎         | 31/1239 [00:06<03:22,  5.98it/s, Loss=0.8502, Acc=54.30%]
Phase1 Epoch 1/10:   3%|▎         | 32/1239 [00:06<03:19,  6.04it/s, Loss=0.8502, Acc=54.30%]
Phase1 Epoch 1/10:   3%|▎         | 32/1239 [00:06<03:19,  6.04it/s, Loss=0.8507, Acc=53.88%]
