label,text
real,reuters evofem biosciences inc said on monday its birth control gel showed effectiveness in a latestage study bringing the first hormonefree contraceptive close to approval and sending its shares up 27 percent before the bell male condoms and oral pills dominate the 55 billion contraceptive market in the united states however oral pills cause side effects such as bleeding between periods mood swings and nausea in women these results pave the way for amphoras disruption of the contraception market as a novel highly effective nonhormonal and womancontrolled method that finally answers womens longawaited desire to avoid hormones roth capital partners analyst yasmeen rahimi said the gel works by regulating vaginal ph within the normal range of 35 to 45 creating a hostile environment for sperm and certain viral and bacterial pathogens that can cause sexually transmitted diseases amphora was found to have a 86 percent efficacy rate in avoiding pregnancies and no serious sideeffects were observed in the study which evaluated about 1400 healthy women belonging to the age group 1835 years evofem said oppenheimer analyst leland gershell said he expects amphora the companys lead product to bring in peak sales of 415 million by 2032 the company plans to resubmit the marketing application for amphora in the second quarter next year and if approved plans to launch the product in january 2020 evofem is also testing amphora as a preventive treatment for chlamydia and gonorrhea two of the worlds most common sexually transmitted infections evofems birth control gel meets main study goal shares rise
real,en espaol by steven reinberg healthday reporter friday dec 7 2018 healthday news hot flashes a common curse in menopause can be especially bothersome after breast cancer but a new study suggests an existing medication may help the drug is oxybutynin ditropan xl long used to treat urinary incontinence the study found that women taking the medicine had an average of five fewer hot flashes a week compared with three fewer among women taking a placebo oxybutynin is an option that can control these symptoms and improve quality of life said lead researcher dr roberto leonferre an assistant professor of oncology at the mayo clinic in rochester minn there are a couple of reasons for severe hot flashes after breast cancer chemotherapy may induce early menopause and drugs that reduce estrogen levels may make hot flashes worse the research team noted hormone replacement therapy which is often recommended for menopausal symptoms is generally not advised for breast cancer survivors thats left women who cant take hormones at a disadvantage oxybutynin blocks a substance in the brain and one of its side effects is decreased sweating leonferre noted because of this we can take advantage of the side effect and decrease involuntary sweating associated with hot flashes and decrease the hot flashes as well he explained the drug could be gamechanging for certain women said dr alice police regional director of breast surgery at northwell health cancer institute in sleepy hollow ny this is a really important advance in survivorship and compassionate cancer care added police who wasnt involved in the study because oxybutynin is already available for other conditions leonferre said doctors could prescribe it offlabel however he cautioned that its longterm effects arent known drugs in this class called anticholinergics have been linked with mental decline he said for example the drugs may raise the risk for problems with shortterm memory reasoning and confusion and may also hike the risk for dementia among older patients studies indicate for the new study leonferre and his colleagues randomly assigned 150 women who experienced at least 28 hot flashes a week to oxybutynin or a placebo almost twothirds were also taking drugs to prevent a return of breast cancer either tamoxifen or an aromatase inhibitor the women were randomly assigned to one of three groups lowdose oxybutynin twice a day for six weeks lowdose oxybutynin for one week followed by an increased dose or a placebo both doses appeared to reduce hot flashes better than the placebo and oxybutynin doesnt interfere with the metabolism of tamoxifen leonferre said calling that an important consideration for breast cancer survivors most insurance covers oxybutynin and a months supply can range from 21 to 42 with insurance copays would be less he added side effects included constipation mild diarrhea dry mouth dry eyes episodes of confusion and difficulty urinating the researchers found women taking oxybutynin also reported improvement in work social activities leisure activities sleep and overall quality of life these are vital issues police said i will never forget the first time a patient said thank you for curing my breast cancer but you ruined my life she said the patient said endocrine therapy had caused hot flashes so severe that she could not sleep as a result she was having trouble at work and in all other aspects of her life police recalled her intimate relationship was also suffering as nighttime had become a battleground between her and her internal temperature control police said the patient said she was willing to stop her hormone therapy and risk the return of breast cancer rather than live with her current symptoms she said this study makes me hopeful that these patients may have a way out of their dilemma police said instead of just telling them they should be happy to be alive we may be able to offer a reliable treatment for some of the debilitating side effects of our treatments for breast cancer the research was scheduled to be presented friday at the san antonio breast cancer symposium in texas studies presented at meetings are usually considered preliminary until peerreviewed for publication in a medical journal more information the us national cancer institute has more about hot flashes and cancer survivors incontinence drug may cut hot flashes in breast cancer survivors
real,before starting a statin talk it over with your doctor enlarge this image toggle caption visuals unlimitedgetty imagesvisuals unlimited visuals unlimitedgetty imagesvisuals unlimited a study published monday is pushing back against the notion that up to 40 percent of americans should be taking statin drugs to reduce the risk of heart disease the study in the annals of internal medicine argues that current medical guidelines havent adequately considered the risks from these widely used drugs some harms are mentioned but its entirely unclear how they were considered when coming up with the recommendations says milo puhan a physician and epidemiologist at the university of zurich and senior author of the new study in our approach we very explicitly considered the harms its important to note that statin drugs are generally safe and harms are uncommon on the other hand the benefits arent that great either anywhere from 50 to 200 healthy people need to take a statin daily to prevent a single heart attack for five years so even small harms may outweigh the potential benefits the swiss scientists say the most common side effect of these drugs is muscle pain which usually goes away if patients stop taking the medicines people taking statins are also at a higher risk of developing diabetes which is harder to reverse puhan also found that some statins were more effective than others with atorvastatin the generic name for lipitor being the best of the bunch he notes that physician guidelines dont generally compare the relative value of these drugs which are all available as inexpensive generics he also finds that benefits fade compared with harms as people get older the elderly do not benefit as much as previous studies might have thought he says one size doesnt fit it all he concludes thats a very important message puhan says based on his assessment perhaps 15 to 20 percent of older adults should be taking statins far less than the 30 or 40 percent suggested by current medical guidelines i think for me as a physician says ilana richman an internist at the yale school of medicine this kind of data suggests that if we give more weight to the potential for adverse events then maybe its reasonable to hold off for lowerrisk patients she cowrote an editorial about the paper and came away from it thinking that doctors need to spend more time talking about the plusses and minuses of statin treatment personalizing their recommendations more than they do now she says its a challenge to convey these sophisticated concepts in the short amount of time doctors have to spend with their patients yet that kind of dialog is increasingly the expectation in midnovember the american heart association and american college of cardiology published new guidelines calling for more nuanced conversations around who would most benefit from statins scott grundy a physician at the university of texas southwestern medical center who chaired the guidelines committee says the new recommendations urge people in this gray area to get a special kind of ct scan that looks for calcium deposits in heart arteries a signal for clogs that could cause trouble if you have no coronary calcium then your chances of having a heart attack over the next 10 years are very low he says and it turns out that perhaps 40 percent of people who are identified as candidates based on their risk factors such as cholesterol levels and age actually have clear heart arteries grundy says that means a lot of people are going to be treated unnecessarily if they dont have the calcium scan but that test which grundy says is available for about 100 is controversial among some physicians they worry that it will trigger overtreatment of conditions that the scan will pick up but which dont require urgent attention and it is only useful as a screening test for people who havent had heart disease statins are routinely prescribed for people who have already had a heart attack or stroke for those patients who werent included in the swiss analysis the benefits are so clear its almost mandatory to be on a statin drug grundy says he disagrees with a lot of the particulars in the swiss study so does cardiologist roger blumenthal who heads the ciccarone center for the prevention of heart disease at johns hopkins the harms analyzed in the paper can be dealt with by a smart clinician he says yet both the new guidelines and the latest study agree on an important point doctors and patients should spend more time reviewing the benefits and risks of statins with attention paid to each persons particular circumstances you can contact npr science correspondent richard harris at rharris org before starting a statin talk it over with your doctor
real,en espaol by alan mozes healthday reporter tuesday nov 27 2018 healthday news what if a simple zap to the spine could relieve the debilitating lower back and leg pain brought on by a herniated disk such is the promise of pulse radiofrequency therapy prf which sends inflammationreducing pulses of energy to nerve roots in the spine a new study claims the therapy is not new having first received us food and drug administration approval in the 1980s but recent advances in ct scan technology now enable clinicians to deploy those energy pulses with much more accuracy experts said and the new research suggests the treatment could prove a boon to back pain patients for whom standard therapies have failed to do the trick i was amazed with the results of prf said study author dr alessandro napoli especially having read as a radiologist numerous lumbar mri scans of patients with recurrent hernia after surgery and as a patient himself napoli added that from personal experience i can tell you that the treatment is not painful and the results are appreciated within days after a single treatment lasting 10 minutes napoli is a professor of interventional radiology at sapienza university of rome in italy he and his colleagues plan to report their findings tuesday at the radiological society of north america annual meeting in chicago such research is considered preliminary until published in a peerreviewed journal lower disk herniation results when the insulating disks that sit between spinal vertebrae tear open allowing jellylike material to protrude and exert pressure on surrounding nerve roots beyond lower back pain the condition often triggers sciatica a pain that radiates down a patients leg standard therapies include overthecounter pain meds corticosteroid spinal injections andor invasive spine surgery that sometimes involves disk removal and vertebrae fusion the problem said napoli is that such options entail risks without assured relief steroid injections are effective only in portion of the patients and generally require more sessions he noted and though surgery safety has largely improved napoli pointed to the risk for bleeding and infection the need for a minimum two to threeday hospital stay the high cost and the fact that some patients ultimately realize little benefit by contrast prf is scalpelfree delivering radio signals directly to affected nerves via a ct scanguided electrode the process said napoli requires no hospital stay is noninvasive far cheaper and less risky the rationale for using prf on disk herniation is that we eliminate the inflammation process of the compromised nerve root he explained without inflammation the pain fades and the body starts a selfhealing process that allows for complete resolution of the disk herniation in a large proportion of patients for the study the italian investigators compared 128 lumbar herniation patients who underwent a single 10minute round of ctguided prf with 120 patients who received one to three rounds of steroid injections all the patients had already undergone standard interventions with poor results by the oneyear mark following either treatment a full perceived recovery was reported by 95 percent of the prf patients compared with just 61 percent of the steroid injection patients dr daniel park director of minimally invasive orthopedic spine surgery at william beaumont hospital in royal oak mich offered some caution on the findings he noted that because the majority of people with back pain improve with time and exercise alone it remains an open question as to whether the prf procedure really cured the condition still park noted that diagnostic uncertainty can undermine the ability of surgery to get at the true source of a patients pain given that the problem with low back pain is that there are many causes of it and physicians have trouble identifying the cause of pain nevertheless he remains unsure if prf is truly ready for prime time best case i think prf could be an option for people if they have already failed therapy and medication said park it may be a similar option for people if they do not or cannot have steroid injections but they need more treatment i think this is experimental and should not be firstline more information the american academy of orthopaedic surgeons offers more information on herniated disks nerve zap might ease pain of herniated disk
real,joel shannon usa today an experimental vaccine that could hold off alzheimers disease showed promising results in animal testing according to researchers at the university of texas southwestern medical center testing in mice showed that the vaccine safely prevents the buildup of substances in the brain associated with the fatal disease the team reported this week in the journal alzheimers research therapy there has been research in monkeys and rabbits as well and the researchers hope the vaccine will progress to human trials if the vaccine proves safe and effective in humans it could slice the number of dementia diagnoses in half the studys senior author told usa today morethe hidden side of dementia families fight over care endoflife decisions finances estates dementia is a term used to broadly describe symptoms of cognitive decline alzheimers disease is the most common cause of dementia doris lambrachtwashington a professor of neurology and neurotherapeutics at the university of texas southwestern medical center said researchers believe the vaccine could extend lives by preventing the disease from developing if the onset of the disease could be delayed by even five years that would be enormous for the patients and their families lambrachtwashington said in a statement the number of dementia cases could drop by half nov 20mri scan may predict which people will develop alzheimers disease nov 7dark roast coffee might reduce risk of alzheimers parkinsons study suggests lambrachtwashington said the study marks major progress toward a safe and effective vaccine previous attempts to find an alzheimers vaccine either caused harmful side effects such as brain inflammation or used less effective approaches she said the vaccine works by prompting the body to produce antibodies inhibiting the buildup of amyloid and tau two proteins that are hallmarks of the degenerative brain disease the vaccine is one of several promising treatments aimed at reducing the buildup of those substances before they become deadly plaques and tangles in the brain about 57 million americans have alzheimers disease according to the university of texas the number could double by 2050 researcher alzheimers vaccine could cut dementia in half human trials may be next
real,cnn sometimes ellis glover would be forced to leave her friends and sit at a lunch table where no one was eating peanut butter and jelly sandwiches i wanted to sit with my good good friends but i couldnt the 10yearold said if youre a kid and you have a food allergy its harder on you youre missing out on a lot of stuff other children can have i always want to try peanut stuff mom monica glover said the family discovered ellis peanut allergy when she was about 3 the tipoff a skin reaction around her mouth after she was given food with a small amount of peanuts in it we were lucky to have discovered it that way that was a mild reaction glover said and a doctor confirmed the allergy through tests the discovery was distressing glover said accidental exposure to peanuts has happened resulting in severe stomach cramps and vomiting she said essentially we have to live in fear all the time of ellis being inadvertently exposed to peanuts and having a reaction that is potentially lifethreatening glover seized the opportunity to participate in a study on the safety and effectiveness of an experimental treatment that could give her daughter protection against accidental exposure to peanuts despite the risk it was a gift she said adding that her family hoped their efforts might help lots of other children the risk paid off twothirds of the kids in the study were able to eat the equivalent of two peanuts without any symptoms after following the monthslong experimental treatment regimen the researchers found ellis is one of the majority of children for whom the treatment works its been a huge success her mother said the study results published sunday in the new england journal of medicine and presented at the american college of allergy asthma and immunologys annual scientific meeting prove that the treatment can protect some children against accidental exposure to or ingestion of a very small amount of peanuts or peanut products not a cure dr brian vickery the studys lead author director of the childrens healthcare of atlanta food allergy program and an associate professor of pediatrics at the emory university school of medicine cautioned that its not a cure it does not make the allergy to go away vickery said the purpose is not to get them to be no longer peanut allergic and allow them to eat whatever they want still thats no small accomplishment he said there are no us food and drug administrationapproved treatment options for food allergies of any kind or peanut allergy in particular which along with tree nut allergy affects an estimated 3 million americans or more im telling patients when i see them that my hope is that patients will have access by late next summer something like that vickery said he added that although the study proved the treatments effectiveness and safety only in children adults would probably benefit in the same way how the study worked to test the experimental therapy 66 research centers in 10 countries recruited 551 participants who ranged in age from 4 to 55 and who all had a peanut allergy most 499 participants were between the ages of 4 and 17 the treatment which comes in powderfilled capsules is an oral immunotherapy and the concept is treating an allergy by gradually exposing people to the very same thing theyre allergic to vickery said essentially the treatment is a peanut powder ellis participated in the study at the pediatric clinical research unit at arkansas childrens hospital in little rock which was overseen by dr stacie m jones a professor of pediatrics and chief of allergy and immunology at the university of arkansas for medical sciences and arkansas childrens hospital ellis and monica glover in the pediatric clinical research unit at arkansas childrens hospital in little rock we were extremely wellinformed about the entire process glover said you start at a super low dose and work your way up you take it at the hospital under observation then you take it at home every day threequarters of the study participants were given the treatment in increasing amounts every two weeks until reaching maintenance when they received the equivalent of one peanut daily the remainder of the participants were given a placebo at the conclusion of the study after a year all of the participants faced an exit food challenge they ate under a doctors supervision the equivalent of two peanuts twothirds of the treatment participants were able to tolerate this exit dose without a severe reaction half tolerated even twice that amount a fourpeanut dose overall participants experienced fewer side effects during the study than the researchers had anticipated its intuitive that that process would trigger some allergic symptoms in many patients vickery said a third completed the study with no more than mild side effects such as stomachache ellis experienced stomach cramps and vomiting multiple times during the study usually on days when her dose was increased to raise her tolerance having stomach cramps did not feel very good she said still she usually vomited and the cramps passed quickly erica gibson a registered nurse in the pediatric clinical research unit at arkansas childrens hospital in little rock and ellis glover once she felt her throat constrict and it was harder for me to breathe she said shed gone into anaphylaxis a severe allergic reaction the hospital staff reacted immediately and gave her a shot of epinephrine i felt safe with all the doctors and nurses around me they can help you get through it she said a little more than 11 of the children dropped out of the study due to severe side effects among children receiving the treatment 10 required rescue epinephrine during the exit challenge compared with 53 in the placebo group these treatments really have the potential to transform peoples lives vickery said and i have seen it happen firsthand the sense of relief families get when a child becomes desensitized trying to be bite safe dr scott sicherer a professor of pediatrics and director of the jaffe food allergy institute at the icahn school of medicine at mount sinai in new york said the study is the largest of the phase three studies in pharmaceuticalgrade peanut its what a lot of families call trying to be bite safe its not that youre curing the allergy its not that youre going to be able to eat peanut butter sandwiches said sicherer who was not involved in the study its really just to have a better threshold so that if you accidentally ate something that had a little bit of peanut in it maybe you wouldnt have a reaction or the reaction wouldnt be so bad though the immunotherapy treatment is simply a matter of gradually increasing your tolerance to peanuts you could have a severe reaction at home this is not something to try at home sicherer said aimmune has made peanut into a pharmaceuticalgrade product he said most people think of it as medicinalized food doctors and patients both know exactly how much youre getting he said and thats important because if youre reactive to say a 50th of a peanut you dont want to have a mistake where youre suddenly getting a 10th of peanut assuming the treatment wins fda approval sicherer said the conversation between doctors and patients will be is it better to just avoid the food and ask a lot of questions at restaurants and be real careful or do something like this and still dont eat the food and ask the questions in the restaurant but at least know you have a bit of a safety valve there are more than a few caveats when it comes to the treatment regimen for one its a commitment he said you cannot take a dose before exercising and you cant skip doses or you might have a severe reaction when you pick it up again glover noted its somewhat disruptive you have to do it every day generally we would take it after dinner after giving the medicine she added parents must carefully monitor their children preventing them from becoming too active or too hot sicherer said the family that does this really really really has to be a rule follower its not easy it would still be worth it to many he said if this ends up being the first approved treatment if it is covered by insurance and if details of whom it works for best were all worked out and the risks and benefits were clear that would be so amazing because we havent really had anything like that before he said get cnn healths weekly newsletter sign up here to get the results are in with dr sanjay gupta every tuesday from the cnn health team its not everything we would hope for but its still fantastic to be able to raise someones threshold from a teeny tiny amount of peanut to a couple of peanuts or more said sicherer who believes that other allergy products will be developed in time i can tell my patients that this might be the right thing for them but if not were looking at things that might be easier and better down the road glover acknowledges that its not a perfect solution i would say its been some work to go through this study just in terms of a time commitment still if it had taken twice the amount of time she would have done it its peace of mind even though she dislikes the medicines taste ellis also believes it is worth it its definitely better she would say to another kid with peanut allergy you know you can be around your friends when they have peanut butter on them peanut allergy experimental treatment helps 2 out of 3 sufferers study finds
real,why did this happen please make sure your browser supports javascript and cookies and that you are not blocking them from loading for more information you can review our terms of service and cookie policy are you a robot
real,lauren pestikas sits as she receives an infusion of the drug ketamine during a 45minute session at an outpatient clinic in chicago on july 25 2018 pestikas struggled with depression and anxiety and made several suicide attempts before starting ketamine treatments earlier in the year ap phototeresa crawford lauren pestikas sits as she receives an infusion of the drug ketamine during a 45minute session at an outpatient clinic in chicago on july 25 2018 pestikas struggled with depression and anxiety and made several suicide attempts before starting ketamine treatments earlier in the year ap phototeresa crawford chicago ap it was launched decades ago as an anesthetic for animals and people became a potent battlefield pain reliever in vietnam and morphed into the trippy club drug special k now the chameleon drug ketamine is finding new life as an unapproved treatment for depression and suicidal behavior clinics have opened around the united states promising instant relief with their unique doses of ketamine in ivs sprays or pills and desperate patients are shelling out thousands of dollars for treatment often not covered by health insurance with scant evidence on longterm benefits and risks chicago preschool teacher lauren pestikas long struggled with depression and anxiety and made several suicide attempts before trying ketamine earlier this year the price tag so far is about 3000 but its worth every dime and penny said the 36yearold pestikas said she feels much better for a few weeks after each treatment but the effects wear off and she scrambles to find a way to pay for another one for now ketamine has not received approval from the us food and drug administration for treating depression though doctors can use it for that purpose ketamine has been around since the 1960s and is widely used as an anesthesia drug during surgery because it doesnt suppress breathing compared to opioids such as morphine ketamine isnt as addictive and doesnt cause breathing problems and some studies have shown that ketamine can ease symptoms within hours for the toughest cases its potential effects on depression were discovered in animal experiments in the late 1980s and early 1990s showing that glutamate a brain chemical messenger might play a role in depression and that drugs including ketamine that target the glutamate pathway might work as antidepressants conventional antidepressants like prozac target serotonin a different chemical messenger and typically take weeks to months to kick in a lag that can cause severely depressed patients to sink deeper into despair ketamines potential for almost immediate if temporary relief is what makes it so exciting said dr jennifer vande voort a mayo clinic psychiatrist who has used ketamine to treat depression patients since february we dont have a lot of things that provide that kind of effect what i worry about is that it gets so hyped up she said the strongest studies suggest its most useful and generally safe in providing shortterm help for patients who have not benefited from antidepressants that amounts to about onethird of the roughly 300 million people with depression worldwide it truly has revolutionized the field changing scientists views on how depression affects the brain and showing that rapid relief is possible said yale university psychiatrist dr gerard sanacora who has done research for or consulted with companies seeking to develop ketaminebased drugs but to become standard depression treatment he said much more needs to be known last year sanacora coauthored an american psychiatric association task force review of ketamine treatment for mood disorders that noted the benefits but said major gaps remain in knowledge about longterm effectiveness and safety most studies have been small done in research settings and not in the real world when delivered through an iv ketamine can cause a rapid increase in heart rate and blood pressure that could be dangerous for some patients ketamine also can cause hallucinations that some patients find scary there are some very real concerns sanacora said we do know this drug can be abused so we have to be very careful about how this is developed dr rahul khare an emergency medicine specialist in chicago first learned about ketamines other potential benefits a decade ago from a depressed and anxious patient he was preparing to sedate to fix a repeat dislocated shoulder he said doc give me what i got last time for about three weeks after i got it i felt so much better khare recalled khare became intrigued and earlier this year began offering ketamine for severe depression at an outpatient clinic he opened a few years ago he also joined the american society for ketamine physicians formed a year ago representing about 140 us doctors nurses psychologists and others using ketamine for depression or other nonapproved uses there are about 150 us ketamine clinics compared with about 20 three years ago said society cofounder dr megan oxley khare said the burgeoning field is like a new frontier where doctors gather at meetings and compare notes he has treated about 50 patients with depression including pestikas theyre typically desperate for relief after failing to respond to other antidepressants some have lost jobs and relationships because of severe depression and most find that ketamine allows them to function khare said typical treatment at his clinic involves six 45minute sessions over about two weeks costing 550 each some insurers will pay about half of that covering khares office visit cost patients can receive booster treatments they must sign a fourpage consent form that says benefits may not be longlasting lists potential side effects and in bold letters states that the treatment is not governmentapproved at a recent session pestikass seventh she leaned back on a reclining white examiningroom chair as a nurse hooked her up to a heart and blood pressure monitor she grimaced as a needle was slipped into the top of her left palm khare reached up with a syringe to inject a small dose of ketamine into an iv bag hanging above the chair then dimmed the lights pulled the window curtains and asked if she had questions and was feeling ok no questions just grateful pestikas replied smiling pestikas listened to music on her iphone and watched psychedelic videos she said it was like a controlled acid trip with pleasant hallucinations the trip ends soon after the iv is removed but pestikas said she feels calm and relaxed the rest of the day and that the mood boost can last weeks studies suggest that a single iv dose of ketamine far smaller than used for sedation or partying can help many patients gain relief within about four hours and lasting nearly a week or so exactly how ketamine works is unclear but one idea is that by elevating glutamate levels ketamine helps nerve cells reestablish connections that were disabled by depression said ketamine expert dr carlos zarate chief of experimental therapies at the national institute of mental health a small stanford university study published in august suggested that ketamine may help relieve depression by activating the brains opioid receptors janssen pharmaceuticals and allergan are among drug companies developing ketaminelike drugs for depression janssen leads the effort with its nasal spray esketamine the company filed a new drug application in september meanwhile dozens of studies are underway seeking to answer some of the unknowns about ketamine including whether repeat iv treatments work better for depression and if theres a way to zero in on which patients are most likely to benefit until there are answers zarate of the mental health institute said ketamine should be a lastresort treatment for depression after other methods have failed follow ap medical writer lindsey tanner at the associated press health science department receives support from the howard hughes medical institutes department of science education the ap is solely responsible for all content trippy depression treatment hopes and hype for ketamine
real,the first new flu drug in 20 years won approval wednesday from the food and drug administration the new antiviral generically known as baloxavir marboxil but sold under the brand name xofluza is a single dose treatment it is for use only in those aged 12 or more the fda said and should be taken only in the first two days after symptoms like fever aches and sniffles appear the pill will cost 150 according to a spokeswoman for genentech which will sell xofluza in this country genentech will offer coupons that lower the price to 30 for patients with health insurance and to about 90 for the uninsured flu season has already begun and last years was one of the most lethal in decades about 80000 americans died of flu or its consequences the centers for disease control and prevention said earlier this month the new drug is no miracle cure and it is not approved for young children who are one of the most vulnerable groups so the cdc still strongly recommends that every american over the age of six months get a flu shot as soon as possible fda approves new drug for flu
real,en espaol by amy norton healthday reporter thursday oct 18 2018 healthday news in what researchers are calling a breakthrough two preliminary trials have found that either of two tripledrug regimens could potentially benefit 90 percent of people with cystic fibrosis the trials were shortterm finding that the drug combinations improved adult patients lung function over four weeks but experts said they were optimistic the results will hold up in the larger longerterm trials already underway whats most exciting they said is that the tripledrug approach could open up new options to nearly all cystic fibrosis patients this is not a cure for cystic fibrosis stressed dr steven rowe who led one of the trials but it could be gamechanging cystic fibrosis cf is a genetic disorder that causes persistent lung infections over time extensive lung damage leads to respiratory failure at one time children with cf usually died before they reached school age but with improved treatments the typical life expectancy is now about 40 years according to the cystic fibrosis foundation cystic fibrosis is caused by various mutations in a gene called cftr in the past several years drugs that target those underlying genetics have become available known as cftr modulators they were heralded as a major advance in treating the disorder however they work well only for a small number of people with certain cftr mutations explained rowe director of the cystic fibrosis research center at the university of alabama at birmingham the most common mutation that causes cystic fibrosis is called f508del and it has proven tougher to tackle rowe said about half of people with cf carry two copies of the mutation one inherited from each parent for them a combination of two existing cftr modulators can ease breathing problems but the overall effects are only modest rowe said then theres the 30 percent of cf patients who carry only one copy of f508del plus another defect known as a minimalfunction mutation for them the existing cftr modulators do not work at all both new trials focused on those two groups of patients the results are published in the oct 18 new england journal of medicine to coincide with the researchers presentation at a north american cystic fibrosis meeting in denver rowes team tested a combination of two available cftr modulators tezacaftor and ivacaftor plus an experimental one known as vx659 the other trial used the same existing drugs along with a similar new drug dubbed vx445 rowes team randomly assigned 54 adults with cystic fibrosis to either take the tripledrug regimen or be in a comparison group in the comparison group patients with one f508del mutation took placebo pills while patients with two copies of the mutation took tezacaftor and ivacaftor alone after four weeks the trial found the tripledrug therapy had improved lung function in patients with both types of mutations their performance on a test called fev1 rose by as much as 13 percentage points on average what rowe described as a pronounced improvement the other trial had nearly identical results this is the first time rowe said that cftr modulator therapy has pushed the needle for patients with one f508del mutation an editorial published with the studies said they represent a major breakthrough now the questions are whether the improved lung function can be sustained and whether the drugs prevent symptom exacerbations and other complications wrote dr fernando holguin of the university of colorado aurora vertex pharmaceuticals inc is developing both experimental drugs the ability of these potential drugs to treat individuals with a single f508del mutation means that more people than ever before could benefit said dr michael boyle senior vice president for therapeutics at the foundation this is very exciting news for our community rowe agreed there are still important questions about the tripledrug regimens one is how well do they work for younger patients patients as young as 12 are included in the larger ongoing trials rowe said so far the treatments appear safe most side effects in the fourweek trials were mild to moderate the researchers said and included cough headache and increased sputum if the experimental drugs are ultimately approved there will be the realworld issue of price vertex currently markets the combination of tezacaftor and ivacaftor as symdeko at a reported list price of 292000 a year in the united states more than 30000 people have cystic fibrosis according to the foundation more information for an overview of cystic fibrosis visit the cystic fibrosis foundation 3drug therapy might be cystic fibrosis breakthrough
